case,es_type,paper,study_ID,sei,mu_self_inclusive,mu_leave_one_out,power_self,power_loo,type_M_self,type_M_loo,type_S_self,type_S_loo
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18815687730949987,-0.23607219737444507,-0.2410736518420895,0.2409624523297721,0.2492507339994895,2.035,1.998,0.0027103229310648093,0.002387696337831055
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.19417269980808735,-0.23607219737444507,-0.2410736518420895,0.22913126085097102,0.2369322652813447,2.109,2.057,0.0032612390588449645,0.002885023189832807
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18298707568706302,-0.23607219737444507,-0.2410736518420895,0.2520501338914971,0.2607888592212262,1.978,1.944,0.0022887863170885938,0.0020086759359884986
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.1830517621881611,-0.23607219737444507,-0.2410736518420895,0.25190575760617107,0.2606386577987896,1.983,1.95,0.0022937721565643348,0.002013150289260092
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18263910382782145,-0.23607219737444507,-0.2410736518420895,0.25282932823280657,0.26159947294518726,1.983,1.945,0.0022620893668780884,0.0019847214919991208
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.19028828177640192,-0.23607219737444507,-0.2410736518420895,0.23664502668937915,0.2447562618701129,2.059,2.018,0.0028979591514312008,0.0025568467520202614
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.19008912376679965,-0.23607219737444507,-0.2410736518420895,0.23704245315332073,0.24517002332538673,2.051,2.017,0.0028800783979825756,0.0025407167467752516
MA14_02.csv,SMD,MA14,"Wright, Softley & Earnshaw",0.18850681190640312,-0.23607219737444507,-0.2410736518420895,0.24024380864264483,0.2485026833142574,2.035,1.993,0.0027405672253655376,0.0024149436878044537
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.2968658825969766,-0.23607219737444507,-0.2576682862866448,0.12499330551192378,0.1397586327773126,3.074,2.824,0.023465272490671273,0.01676127104917503
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.2960110874738993,-0.23607219737444507,-0.2576682862866448,0.1254383042692736,0.14029194902789843,3.076,2.865,0.023218430293173897,0.016567287513438507
