scenario_label,case,es_type,paper,power_min,power_q1,power_median,power_q3,power_max,power_mean,type_M_min,type_M_q1,type_M_median,type_M_q3,type_M_max,type_M_mean,type_S_min,type_S_q1,type_S_median,type_S_q3,type_S_max,type_S_mean,n_rows
corrected,MA22_03.csv,lnRR,MA22,0.05000645922206981,0.051199317961318686,0.05503046654572824,0.07481462896815344,0.26892549330329796,0.06990667389067903,1.911,5.16275,11.1685,22.86825,307.867,18.656521739130437,0.0017822449682783458,0.10312284009634173,0.2732541747744507,0.3826626948057211,0.49122343371856075,0.2481605610273046,92
corrected,MA23.csv,SMD,MA23,0.052036087049508795,0.06490660246992186,0.07246237385991344,0.08006126426254714,0.12497126830519856,0.07428256804680093,3.083,4.722250000000001,5.4135,6.55475,17.448,6.504208333333334,0.023477582560484204,0.08484050820579975,0.11339921999589966,0.1570489941445104,0.3490945600736584,0.13392961709054174,24
corrected,MA24.csv,SMD,MA24,0.052942551594198584,0.06337591212157456,0.06810376475671787,0.07799319522038417,0.4242606104867911,0.0784215934160319,1.526,4.8675,6.007,6.9135,14.545,5.98368345323741,2.2685103771728473e-4,0.09145116656063026,0.13582053996874144,0.1690566177333313,0.3210836436967428,0.13043584107707074,139
corrected,MA25.csv,SMD,MA25,0.056307270623122574,0.0617116045640313,0.06550554112592055,0.07146909814132102,0.09891015662682678,0.06776709675868021,3.745,5.556,6.502,7.3815,10.033,6.529395348837209,0.0464000298016362,0.11779669047824684,0.15270418819629922,0.18383870159869692,0.2506153573213019,0.1509866530039097,43
corrected,MA26.csv,SMD,MA26,0.050000109543353544,0.05000101962057085,0.050001651150974324,0.05000280483811448,0.050012941789704835,0.05000246234915217,220.505,470.935,617.692,785.871,2370.489,636.2503551198257,0.48757815290074985,0.49421620795442966,0.495562261704957,0.49651267854716596,0.4988569318130425,0.4950043916834993,459
corrected,MA28_01.csv,SMD,MA28,0.05909162501983056,0.06314727302917686,0.06859406180276456,0.0741102424997847,0.10180236038131707,0.06968307087751802,3.635,5.243,5.945,7.034,8.37,6.100702380952381,0.04271638249915291,0.1059667420112637,0.13295122954345337,0.1709732447684132,0.21179405386518976,0.13690830539781332,84
corrected,MA28_02.csv,SMD,MA28,0.05577816955997661,0.05965013499162611,0.06299336318332022,0.06767240392153162,0.08786960048105708,0.06433123365788457,4.219,6.11775,7.0295000000000005,8.19275,10.552,7.127380952380952,0.06505326378062899,0.13842325301810288,0.17228383219883742,0.20526270895011076,0.25950833462800793,0.17068658812593854,84
corrected,MA31.csv,SMD,MA31,0.051447133410338575,0.09477081974784557,0.10866171198139518,0.126745195865354,0.23818204191097236,0.11218968691200217,2.043,3.052,3.4565,3.9185,21.289,3.6380408719346047,0.00282950406049057,0.02251224485298452,0.03538866398372564,0.05243649388076201,0.3716082972465112,0.04356527862667354,734
corrected,MA32.csv,SMD,MA32,0.8218494178495163,0.8532456699032998,0.8808636733791212,0.8851626298680308,0.954176737070741,0.880854234611005,1.027,1.065,1.075,1.086,1.109,1.071846153846154,1.0805997642801018e-8,1.715613093262463e-7,1.9356889484348236e-7,3.915698372237312e-7,7.805871295746986e-7,2.6875739380169074e-7,13
corrected,MA34.csv,Zr,MA34,0.053708354593072216,0.06278075377148218,0.07356605564586571,0.10209025252847004,0.18219945272660099,0.08419209602248809,2.373,3.657,5.246,7.1055,13.236,5.608542342342343,0.007218346424172807,0.04237099658335887,0.1082577980102773,0.17411766542801843,0.3014425533610917,0.11405498943377285,555
corrected,MA39_1.csv,SMD,MA39,0.05000000090330303,0.05000000199101173,0.05000000282068939,0.05000000313430519,0.0500000050562438,0.05000000272591393,11043.148,14139.2,15039.454,17730.808,26294.047,15977.675783783783,0.499754419517311,0.4998066471861177,0.4998165754349583,0.4998458949841414,0.4998962001815142,0.49982269629756465,37
corrected,MA39_2.csv,SMD,MA39,0.050260990905542036,0.05106921693936689,0.05123542065057085,0.051766205466803494,0.05303046713887505,0.05146516706764669,14.64,19.038,22.497,24.1575,48.841,22.957,0.31867177524099205,0.3591532036892925,0.38097663303352697,0.3890211866330207,0.44443963964127026,0.3746162139528119,15
corrected,MA41_01.csv,Zr,MA41,0.05988489392346685,0.08199783562481,0.08403040041011434,0.10195192815301868,0.1758324305514425,0.09191582736911848,2.426,3.6225000000000005,4.4350000000000005,4.604,8.059,4.353972727272727,0.008115981190231252,0.04255439840965587,0.0738874039236671,0.07923586093721077,0.20261829568040787,0.07058325115484147,110
corrected,MA41_02.csv,Zr,MA41,0.05130159448388372,0.061786025717990856,0.06839992569593312,0.07472367288664794,0.1143889419444597,0.0691869881494718,3.311,5.14875,5.935499999999999,7.35475,21.986,7.198701086956522,0.0304740978091186,0.10350244337496167,0.13407552568493472,0.18313177686607754,0.3779574831414514,0.15540395733207168,184
corrected,MA41_03.csv,Zr,MA41,0.05159684976333512,0.058014519879792226,0.06204926797730814,0.0632631201901408,0.11248242048844914,0.06341339213968894,3.33,6.958,7.244,8.946,20.081,8.044759689922481,0.03200651152703739,0.1699978128629958,0.18067483695052194,0.22545111505624488,0.36544525639147535,0.1894834917291463,129
corrected,MA41_04.csv,Zr,MA41,0.06387742597227364,0.09221768099957184,0.15791811124403554,0.27631469007209,0.5866078734359208,0.17965030004627713,1.301,1.89025,2.6205,4.0322499999999994,6.916,3.5595288461538463,2.9769698696539843e-5,0.0016012243686256648,0.011467690095064112,0.05668699509099901,0.1649690059052226,0.051545095162256825,104
corrected,MA43.csv,Zr,MA43,0.05001081105349059,0.05027277685717191,0.05159901736530825,0.05495896426351843,0.06967318560829583,0.05372588620614034,5.767,11.359,19.87,47.961,240.195,44.43353846153846,0.12693877205739695,0.2745693477222017,0.3653585147235554,0.443209739866342,0.48864628525133014,0.35673178145258144,13
corrected,MA45_01.csv,Zr,MA45,0.522302464176256,0.6634310425582258,0.8668763474056471,0.9609256047913886,0.9999999994804074,0.8249688392140312,0.999,1.02275,1.0825,1.2289999999999999,1.38,1.1208571428571428,6.02676834375872e-24,6.949114015294466e-9,2.8044257448683114e-7,1.067337813607223e-5,6.715553472207377e-5,8.063527143340242e-6,28
corrected,MA45_02.csv,Zr,MA45,0.09653634621809093,0.2709766070558129,0.36743141853155814,0.6412387711748182,0.9162005095694395,0.4639434125876212,1.049,1.254,1.635,1.9095,3.826,1.742,6.323617931972209e-8,1.5385288891483865e-5,4.661164366837948e-4,0.001827084564633888,0.049741784859144704,0.005248649986692063,11
corrected,MA47_1.csv,Zr,MA47,0.05000874107192499,0.05004370629490651,0.050139868370944196,0.050402911424905716,0.05438205296454013,0.05044455527007559,11.847,38.925,66.753,119.274,265.307,80.00810769230769,0.2862972330914401,0.43112398850362554,0.459247065241855,0.4771837074155901,0.48979058512159623,0.4451052305445648,65
corrected,MA47_2.csv,Zr,MA47,0.07332138635136609,0.20480845466865624,0.42230621084147413,0.6494089332035077,0.9934054867608763,0.4468385317961611,1.007,1.242,1.5234999999999999,2.2350000000000003,5.29,1.8832368421052632,7.894932236193402e-11,1.3108811830120683e-5,2.324613724481927e-4,0.005041564381307818,0.1093109856148647,0.008837763064475326,38
uncorrected,MA01_01.csv,SMD,MA01,0.5034926136809161,0.6300295579691216,0.734544426079224,0.8185113104513039,0.9296768842802695,0.7214332177020312,1.043,1.1125,1.1745,1.2675,1.394,1.196,3.720053711875929e-8,8.355766053711659e-7,3.718054306764027e-6,1.7321215028420344e-5,8.485771525069246e-5,1.6052910769704095e-5,22
