paper_left_out,n_models_dropped,n_rows_dropped,level,metric,scenario_label,n_units,model_median,ci_lower_raw,ci_upper,ci_lower_floored,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,min,q1,median_raw,q3,max,n_at_bound,grouping
MA09,1,1297,primary-study,type_M,corrected,4443,8.287633182556494,7.525137494303333,9.127389874352088,7.525137494303333,37.6641527214387,205.68764168354676,NA,0.999,3.4465000000000003,5.723,9.521999999999998,26294.047,4443,study
MA09,1,1297,primary-study,type_S,corrected,4443,0.10261504538364422,0.09604633499726878,0.10954021394895627,0.09604633499726878,0.17222863038192457,0.1666167858742454,NA,6.02676834375872e-24,0.03535867440725114,0.12637559176664576,0.23792559242042682,0.4998962001815142,0,study
MA10,1,32,meta-analysis,power,uncorrected,47,0.8221740756277708,0.7158705722792301,0.9442631626582811,0.7158705722792301,1.1438575893996195,0.7080314846078961,0.8861657846207576,0.0539316785204883,0.34845269652183797,0.918593389341217,0.9999040432171102,1,16,NA
MA10,1,32,meta-analysis,type_M,uncorrected,47,1.1086710983150887,1.02378976970148,1.2005898482435364,1.02378976970148,1.3007289658822507,1.8068510638297872,1.1768947091800979,0.998,1.0015,1.054,1.6755,12.67,45,NA
MA10,1,32,meta-analysis,type_S,uncorrected,47,5.863506329829675e-4,-7.246875243044071e-4,0.0019681941012868083,0,0.0043317536371659145,0.013749154825513291,0.001634805151860576,7.970070141940813e-93,1.0170427728380425e-14,5.786376228083103e-8,6.39995781581219e-4,0.2962281539428636,0,NA
MA10,1,32,primary-study,power,uncorrected,5708,0.17092335647421,0.1635505768307217,0.17862849740143563,0.1635505768307217,0.23043092230512538,0.2266411609535272,NA,0.05000645922206981,0.09153287325297049,0.13497743814917107,0.261378052154501,1,69,study
MA10,1,32,primary-study,type_M,uncorrected,5708,2.870837157757294,2.7760350506207443,2.968876774274541,2.7760350506207443,3.5008434914269118,3.862462158374211,NA,0.996,1.94475,2.9135,4.048,309.051,5697,study
MA10,1,32,primary-study,type_S,uncorrected,5708,0.02738651745069342,0.02539523888081833,0.02945647786494316,0.02539523888081833,0.04447190956648308,0.050108095511779506,NA,0,0.001991232785774581,0.018633142472030653,0.057904863958815035,0.49122343371856075,0,study
MA10,1,32,meta-analysis,power,corrected,47,0.3935664042205523,0.2981709476509861,0.5194822491975364,0.2981709476509861,0.7006574395992798,0.4127758322074892,0.5361838879052565,0.05000003450386037,0.09770932614986227,0.28977723593975846,0.6691577897608909,1,4,NA
MA10,1,32,meta-analysis,type_M,corrected,47,2.1722734581657743,1.467732578310129,3.215007997222792,1.467732578310129,6.333110301701991,94.91997872340424,35.271102137351086,0.995,1.226,1.839,3.821,4219.611,45,NA
