case,es_type,paper,k,n_study_id,scenario,has_small_study_effect,has_decline_effect,gate_selects_c2,beta0,beta0_c,beta0_c2,beta0_c3,shrinkage,shrinkage_pct,corrected_toward_zero,se_beta0,se_beta0_c2
MA05_01.csv,SMD,MA05,17,9,2,FALSE,FALSE,FALSE,0.28420900014765826,0.5254233844891688,0.5254233844891688,0.28420900014765826,0,0,FALSE,0.3159402157937035,0.505884655083452
MA05_02.csv,SMD,MA05,16,10,1,TRUE,FALSE,FALSE,-1.043924298168363,3.827317977012132,1.1956924981016641,-1.043924298168363,0,0,FALSE,0.4274793872119504,0.38524444501138333
MA05_03.csv,SMD,MA05,4,4,3,FALSE,FALSE,FALSE,1.5418440896305954,-9.799951057189302,-4.170442030170288,1.5418440896305954,0,0,FALSE,0.6747686060824811,4.469555841602233
MA12.csv,SMD,MA12,70,16,3,TRUE,FALSE,FALSE,0.44106767832673593,-2.0305124068603297,-0.7555042724162083,0.44106767832673593,0,0,FALSE,0.11559108233824683,0.2847731420397317
MA15_03.csv,SMD,MA15,11,5,3,FALSE,FALSE,FALSE,-0.9161862177754302,-1.8505752301871,-1.309453648959127,-0.9161862177754302,0,0,FALSE,0.17390106443802117,1.05379002733961
MA15_04.csv,SMD,MA15,11,5,3,TRUE,FALSE,FALSE,-0.12124755262038935,3.773693063665803,1.8279633486149174,-0.12124755262038935,0,0,FALSE,0.6552343227724959,0.4282945369078834
MA21.csv,SMD,MA21,11,6,4,FALSE,FALSE,FALSE,-0.2275942098163718,-0.2275942098163718,-0.2275942098163718,-0.2275942098163718,0,0,FALSE,0.29999162847927996,0.29999162847927996
MA32.csv,SMD,MA32,13,7,1,TRUE,FALSE,FALSE,1.2905504034916613,-13.881926216400217,-6.771002703580544,1.2905504034916613,0,0,FALSE,0.28544754390376886,1.6426025069717258
MA14_02.csv,SMD,MA14,167,17,2,FALSE,FALSE,FALSE,-0.23607219737444507,-0.2570426403510175,-0.2570426403510175,-0.23607219737444507,0,0,FALSE,0.04459940983192463,0.06330352665919836
MA39_2.csv,SMD,MA39,15,11,3,FALSE,FALSE,FALSE,0.052008863240549645,-0.581464963736083,-0.2216528591861602,0.052008863240549645,0,0,FALSE,0.2519697603594166,1.0387248689542936
MA41_04.csv,Zr,MA41,104,20,3,FALSE,FALSE,FALSE,0.24512817572299164,0.2839992253464888,0.27686724011738756,0.24512817572299164,0,0,FALSE,0.07304969491028543,0.09125641087364529
