paper_left_out,n_models_dropped,n_rows_dropped,level,metric,scenario_label,model_median,full,abs_change,pct_change
MA43,1,13,meta-analysis,power,uncorrected,0.8250941079632045,0.8220737046105893,0.0030204033526152196,0.3674127192823784
MA12,1,70,meta-analysis,power,uncorrected,0.8204142941155153,0.8220737046105893,-0.0016594104950740096,-0.20185665661938135
MA01,3,52,meta-analysis,power,uncorrected,0.8206025579432613,0.8220737046105893,-0.0014711466673279494,-0.1789555679833854
MA25,1,43,meta-analysis,power,uncorrected,0.8208785103613676,0.8220737046105893,-0.0011951942492216538,-0.1453877240590984
MA45,2,39,meta-analysis,power,uncorrected,0.8209727773612301,0.8220737046105893,-0.0011009272493591737,-0.1339207473958437
MA18,1,23,meta-analysis,power,uncorrected,0.8214259821941372,0.8220737046105893,-6.477224164520567e-4,-0.07879128268174496
MA32,1,13,meta-analysis,power,uncorrected,0.8217179308066412,0.8220737046105893,-3.5577380394802294e-4,-0.04327760417984772
MA23,1,24,meta-analysis,power,uncorrected,0.8218671576489913,0.8220737046105893,-2.0654696159794206e-4,-0.02512511474817014
MA10,1,32,meta-analysis,power,uncorrected,0.8221740756277708,0.8220737046105893,1.0037101718152197e-4,0.012209491268078132
MA26,1,459,meta-analysis,type_M,corrected,1.5979337486396585,2.1798724903359523,-0.5819387416962938,-26.69599915940991
MA31,1,734,meta-analysis,type_M,corrected,2.4444474861621175,2.1798724903359523,0.26457499582616517,12.137177610117455
MA09,1,1297,meta-analysis,type_M,corrected,2.4190376940732565,2.1798724903359523,0.2391652037373042,10.971522637108233
MA08,1,531,meta-analysis,type_M,corrected,2.3285778540602227,2.1798724903359523,0.14870536372427035,6.82174596833196
MA34,1,555,meta-analysis,type_M,corrected,2.311798034354042,2.1798724903359523,0.13192554401808954,6.051984444179936
MA39,2,52,meta-analysis,type_M,corrected,2.0661410204546056,2.1798724903359523,-0.11373146988134675,-5.217345068831014
MA14,2,271,meta-analysis,type_M,corrected,2.2654831591713824,2.1798724903359523,0.08561066883543011,3.927324612561911
MA47,2,103,meta-analysis,type_M,corrected,2.145701849667821,2.1798724903359523,-0.03417064066813147,-1.5675522682918608
MA24,1,139,meta-analysis,type_M,corrected,2.2106067325382557,2.1798724903359523,0.030734242202303363,1.4099100905469397
MA28,2,168,meta-analysis,type_M,corrected,2.210107232077934,2.1798724903359523,0.030234741741981708,1.3869958851272957
MA12,1,70,meta-analysis,type_M,corrected,2.2004606199713157,2.1798724903359523,0.020588129635363384,0.9444648586849347
MA06,2,46,meta-analysis,type_M,corrected,2.1666765827062893,2.1798724903359523,-0.01319590762966305,-0.6053522712068937
MA13,3,94,meta-analysis,type_M,corrected,2.168710676081693,2.1798724903359523,-0.011161814254259106,-0.5120397777275021
MA22,3,276,meta-analysis,type_M,corrected,2.190075981746283,2.1798724903359523,0.010203491410330834,0.4680774428580614
MA45,2,39,meta-analysis,type_M,corrected,2.1894123029703225,2.1798724903359523,0.009539812634370204,0.43763168151638165
MA01,3,52,meta-analysis,type_M,corrected,2.1714418369202027,2.1798724903359523,-0.008430653415749667,-0.38674984216394703
MA20,1,29,meta-analysis,type_M,corrected,2.1714954401168396,2.1798724903359523,-0.008377050219112725,-0.3842908361039843
MA10,1,32,meta-analysis,type_M,corrected,2.1722734581657743,2.1798724903359523,-0.007599032170177988,-0.3485998471867924
MA41,4,527,meta-analysis,type_M,corrected,2.186189824119301,2.1798724903359523,0.006317333783348644,0.2898029041310979
MA18,1,23,meta-analysis,type_M,corrected,2.1861881092877296,2.1798724903359523,0.006315618951777235,0.2897242375311526
MA15,4,36,meta-analysis,type_M,corrected,2.174204506155298,2.1798724903359523,-0.005667984180654173,-0.2600144827636486
