case,es_type,study_ID,sei,power_base,power_opt,type_M_base,type_M_opt,type_S_base,type_S_opt,power_change_pp
MA26.csv,SMD,Jones2018,0.44147520088901937,0.08049503191764629,0.12037001740808106,4.668,3.164,0.083538440600112,0.026237466347926265,3.987498549043478
MA26.csv,SMD,Jones2018,0.43379050012650117,0.08160185224603622,0.12295037411522869,4.58,3.117,0.08033934101735903,0.024642046631133594,4.134852186919247
MA26.csv,SMD,Jones2018,0.4128999200774929,0.08493545620562848,0.13072624618059303,4.411,2.983,0.07166436758695943,0.0205212518624258,4.579078997496455
MA26.csv,SMD,Verbeek2019,0.4596169013428466,0.07810241910228022,0.1147951059338781,4.825,3.283,0.09108436855051096,0.030159872906676703,3.6692686831597876
MA26.csv,SMD,Verbeek2019,0.4634097862583396,0.07763795772030213,0.1137134345351063,4.886,3.313,0.09265852508069027,0.03100605529842749,3.6075476814804164
MA26.csv,SMD,Verbeek2019,0.46510288861713167,0.07743434619403367,0.11323931059783565,4.937,3.322,0.09336063062795356,0.03138655747562744,3.5804964403801987
MA26.csv,SMD,Verbeek2019,0.46527365281090227,0.07741393552620868,0.11319178500749405,4.948,3.333,0.09343142272490558,0.031425028403645465,3.5777849481285373
MA26.csv,SMD,Verbeek2019,0.460466481950641,0.07799736798320778,0.1145504384931969,4.906,3.282,0.09143711558423932,0.030348657346704954,3.6553070509989127
MA26.csv,SMD,Bailoo2018,0.5944111296064366,0.06670385232524534,0.08832324323219676,6.336,4.184,0.1445461103937219,0.06410576141899024,2.161939090695142
MA26.csv,SMD,Bailoo2018,0.6445402950941082,0.06418721841426389,0.08250598600726511,6.746,4.498,0.16252056443753818,0.07785014224633452,1.8318767593001217
MA26.csv,SMD,Bailoo2018,0.5773960780954439,0.06771239496483583,0.09065782170430348,6.108,4.098,0.13817884396054816,0.0595125360112854,2.2945426739467645
MA26.csv,SMD,Bailoo2018,0.631042880476438,0.06480561593495227,0.08393428178071471,6.613,4.454,0.15779850309928556,0.07412900146665023,1.912866584576245
MA26.csv,SMD,Bailoo2018,0.6023230013871295,0.06626405365670607,0.08730576841061677,6.339,4.277,0.1474617602555424,0.0662574827719003,2.10417147539107
MA26.csv,SMD,Bailoo2018,0.5875180286595467,0.0671017607607034,0.08924410776299474,6.131,4.176,0.14198241584707894,0.062238873533695685,2.214234700229134
MA26.csv,SMD,Bailoo2018,0.7299123673428202,0.061043290160463726,0.07525711496037579,7.658,5.098,0.19036334264534355,0.10135927470051906,1.4213824799912067
MA26.csv,SMD,Bailoo2018,0.6017301695943125,0.06629640072101273,0.0873805912553075,6.263,4.242,0.14724429843885453,0.06609595219853602,2.1084190534294778
MA26.csv,SMD,Bailoo2018,0.6053883918609606,0.06609832468495791,0.08692244688859574,6.331,4.339,0.1485835886229797,0.06709345010197064,2.082412220363783
MA26.csv,SMD,Bailoo2018,0.6810888561707643,0.06269499815820101,0.07906271152346667,7.176,4.819,0.17486662761495467,0.08794615253366656,1.6367713365265657
MA26.csv,SMD,Bailoo2018,0.5778475456381207,0.06768446531724315,0.09059314599414059,6.048,4.123,0.13834947071888196,0.05963372389995028,2.290868067689744
MA26.csv,SMD,Bailoo2018,0.6399130776910251,0.06439477187517584,0.08298528038263286,6.677,4.574,0.16091159745507047,0.07657344995667854,1.8590508507457026
MA26.csv,SMD,Bailoo2018,0.6150269904646463,0.06559343859827471,0.08575499296312328,6.426,4.369,0.15208227471141714,0.0697293195226812,2.0161554364848566
MA26.csv,SMD,Bailoo2018,0.631042880476438,0.06480561593495227,0.08393428178071471,6.662,4.467,0.15779850309928556,0.07412900146665023,1.912866584576245
MA26.csv,SMD,Bailoo2018,0.672980071027367,0.06300499935221648,0.07977764397937193,7.076,4.778,0.1721830122753685,0.08570675148529946,1.6772644627155442
MA26.csv,SMD,Bailoo2018,0.6095900712774118,0.06587525616971956,0.08640658350267039,6.358,4.322,0.15011411630327037,0.06824118825715324,2.053132733295082
MA26.csv,SMD,Bailoo2018,0.582246518237765,0.0674157580842959,0.08997097919018116,6.162,4.147,0.14000725592560778,0.06081662267073703,2.255522110588526
MA26.csv,SMD,Bailoo2018,0.5824123968460836,0.06740574589928172,0.08994779933347052,6.112,4.107,0.14006959911762393,0.06086129995754177,2.2542053434188802
MA26.csv,SMD,Bailoo2018,0.581826830766681,0.0674411284949541,0.09002971665398196,6.091,4.116,0.13984946702160297,0.06070360810267384,2.2588588159027867
MA26.csv,SMD,Bailoo2018,0.5948329664704202,0.06667995481512323,0.08826794721769737,6.278,4.233,0.14470229389168052,0.06422025430532531,2.158799240257414
MA26.csv,SMD,Bailoo2018,0.6888000029036004,0.062410386491338454,0.07840651804729304,7.195,4.869,0.17738938622158718,0.09007390440943042,1.5996131555954585
MA26.csv,SMD,Bailoo2018,0.5797063541138737,0.06757016644813996,0.09032848215960665,6.005,4.101,0.13905103033246918,0.0601331091325148,2.2758315711466692
MA26.csv,SMD,Bailoo2018,0.5789807475210208,0.06761465175897441,0.09043148707426152,6.116,4.124,0.13877735178436243,0.059938088092331296,2.281683531528711
MA26.csv,SMD,Bailoo2018,0.5956736564596423,0.06663248186221704,0.08815810349518383,6.226,4.212,0.14501331185352498,0.06444851069094377,2.1525621632966785
MA26.csv,SMD,Bailoo2018,0.5923049991347363,0.0668239404420311,0.08860112861622427,6.235,4.208,0.14376510042346335,0.06353453727432315,2.1777188174193163
MA26.csv,SMD,Bailoo2018,0.5965709304014066,0.06658203741319957,0.08804138877485124,6.219,4.215,0.14534490396885805,0.06469224694553236,2.145935136165167
MA26.csv,SMD,Bailoo2018,0.6359101760469005,0.06457802599526541,0.08340853393486436,6.654,4.468,0.15951141060760723,0.07546979610745652,1.883050793959895
MA26.csv,SMD,Bailoo2018,0.5784742915635923,0.06764580185872382,0.09050361659777639,6.112,4.038,0.13858619174682638,0.05980202896244793,2.2857814739052573
MA26.csv,SMD,Bailoo2018,0.611117882245316,0.06579529495705161,0.08622168979838674,6.396,4.284,0.1506685898274837,0.06865903829531847,2.0426394841335127
MA26.csv,SMD,Bailoo2018,0.7445074244089175,0.06061198164841508,0.07426440076680352,7.805,5.255,0.19477938509158504,0.10533030610963817,1.3652419118388437
