aggregation,crit_value_method,exclusion_unit,role,verification_status,dropped_source_paper,n_models_dropped,n_models_remaining,n_effect_sizes_dropped,n_effect_sizes_remaining,pct_of_effect_sizes_dropped,metric,effect_estimator,se_source,se_method,spec_role,geometric_mean,ci_lower,ci_upper,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,summary_dominated_by_offset,weighting,summary_all_28_papers,abs_change,pct_change,influence_rank
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA18,1,47,23,5717,0.40069686411149824,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8214259821941372,0.7153318897910609,0.9432553669887218,0.9072582284218831,0.34845269652183797,0.9998021454824398,0.0539316785204883,1,0.703869036719498,0.8852499517677673,47,FALSE,k_effect_sizes,0.8220737046105893,-6.477224164520567e-4,-0.07879128268174496,25
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA18,1,47,23,5717,0.40069686411149824,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.562562014704271,0.44349645844365004,0.713593117516043,0.9072582284218831,0.34845269652183797,0.9998021454824398,0.0539316785204883,1,0.703869036719498,0.7038690367194981,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.006782557754826057,-1.1912922477737897,15
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA20,1,47,29,5711,0.5052264808362369,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8268561357215736,0.7215119707598143,0.9475810476996349,0.918593389341217,0.38152312992211185,0.9999040432171102,0.0539316785204883,1,0.7195647175739213,0.8888753614225373,47,FALSE,k_effect_sizes,0.8220737046105893,0.004782431110984309,0.5817521086201927,13
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA20,1,47,29,5711,0.5052264808362369,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5788103661007892,0.4568276761397157,0.7333650245027339,0.918593389341217,0.38152312992211185,0.9999040432171102,0.0539316785204883,1,0.7195647175739213,0.7195647175739214,47,FALSE,equal_per_meta_analysis,0.5693445724590971,0.009465793641692088,1.6625773037244773,12
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA21,1,47,11,5729,0.1916376306620209,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8251420913163862,0.7203114197574246,0.9452293163577341,0.918593389341217,0.38152312992211185,0.9999040432171102,0.0539316785204883,1,0.7226329466933115,0.8871836118112022,47,FALSE,k_effect_sizes,0.8220737046105893,0.0030683867057968994,0.3732495868178143,19
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA21,1,47,11,5729,0.1916376306620209,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5887217544037076,0.468242636232335,0.7402002237493917,0.918593389341217,0.38152312992211185,0.9999040432171102,0.0539316785204883,1,0.7226329466933115,0.7226329466933115,47,FALSE,equal_per_meta_analysis,0.5693445724590971,0.019377181944610467,3.403419103640015,5
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA22,3,45,276,5464,4.808362369337979,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8729313679216231,0.7754551797326054,0.9826604980113413,0.9388691098542964,0.40158217139414853,0.9999121730776179,0.0539316785204883,1,0.7405832765738032,0.9177267652751872,45,FALSE,k_effect_sizes,0.8220737046105893,0.05085766331103381,6.186508949963887,1
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA22,3,45,276,5464,4.808362369337979,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.6013758381447107,0.4725879843923554,0.7652604607991879,0.9388691098542964,0.40158217139414853,0.9999121730776179,0.0539316785204883,1,0.7405832765738032,0.7405832765738034,45,FALSE,equal_per_meta_analysis,0.5693445724590971,0.03203126568561365,5.625989468427717,2
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA23,1,47,24,5716,0.4181184668989547,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8218671576489913,0.7156755304923151,0.9438154527336954,0.918593389341217,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7065759556900003,0.8857640621341707,47,FALSE,k_effect_sizes,0.8220737046105893,-2.0654696159794206e-4,-0.02512511474817014,27
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA23,1,47,24,5716,0.4181184668989547,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5641931445148618,0.44454146703928515,0.7160499704056578,0.918593389341217,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7065759556900003,0.7065759556900004,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.005151427944235287,-0.9047996930901414,23
