MA_model,effect_size_type,k,n_study_cluster,effect_estimator,estimator_label,se_source,se_method,role,crit_value_method,assumed_effect,standard_error,power,type_M,type_S
MA01_01.csv,SMD,22,20,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.2301128661826245,0.15846194405574549,0.3061193987307229,1.7894318694418232,0.0010528186033687016
MA01_02.csv,SMD,14,13,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.02913212311540326,0.17169224753427653,0.05330450284540933,13.827266159233423,0.3114306688160342
MA01_03.csv,SMD,16,11,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.24307311977363452,0.21964781161101243,0.19782493161485537,2.2718015896919135,0.0054719765550372435
MA05_01.csv,SMD,17,9,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.28420900014765826,0.3159402157937035,0.14660308280344003,2.7458817954959907,0.014470010488862612
MA05_02.csv,SMD,16,10,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-1.043924298168363,0.4274793872119504,0.685131495575072,1.2122828151379135,7.82715834311169e-6
MA05_03.csv,SMD,4,4,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,1.5418440896305954,0.6747686060824811,0.6274328047141381,1.2639459862296092,1.742271644273846e-5
MA06_01.csv,SMD,33,9,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.21643106922967617,0.3274709092381255,0.10134903585881716,3.6670368083559066,0.04326774792111114
MA06_02.csv,SMD,13,6,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.07400659041018796,0.2609280870176003,0.059265552710052516,8.319220964319745,0.20972255244532492
MA08.csv,SMD,531,176,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.121409316140895,0.04402159734662558,0.7875615705188357,1.133586710400818,1.5127482253143696e-6
MA10.csv,SMD,32,32,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.101708900595211,0.17093178929323732,0.09144584850906934,4.0525804286881515,0.05806211033879972
MA12.csv,SMD,70,16,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.44106767832673593,0.11559108233824684,0.9682585919331121,1.0192969336761295,3.956767601646913e-9
MA13_01.csv,SMD,43,24,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.5168501599308614,0.47510100393490606,0.19273218935917225,2.307183142998837,0.005979643346504744
MA13_02.csv,SMD,37,20,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.3714883561877102,0.2538934343668182,0.309975440416302,1.7780047146738833,9.98536591534373e-4
MA13_03.csv,SMD,14,9,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.029895716331059,0.313139329336432,0.05104475698962996,24.51559845162841,0.3902164915880232
MA15_01.csv,SMD,5,3,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.10584858895219852,0.3385515056999909,0.061271587282247686,7.560119841671759,0.18809183101559113
MA15_02.csv,SMD,9,4,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.23147502248453425,0.1499454447888904,0.33884819267695976,1.699672077816974,6.77080925106255e-4
MA15_03.csv,SMD,11,5,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.9161862177754302,0.17390106443802117,0.9995309632492754,1.000318086178302,2.444776888451191e-13
MA15_04.csv,SMD,11,5,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.12124755262038936,0.6552343227724959,0.0539316785204883,12.68702581399305,0.2962281539428636
MA21.csv,SMD,11,6,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.2275942098163718,0.29999162847927996,0.11809592736322583,3.219068680120767,0.02775387443861699
MA23.csv,SMD,24,22,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.18617969575533128,0.3036103430977167,0.09406961644090739,3.9378048947041413,0.05356025511606163
MA24.csv,SMD,139,54,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.17687127092279167,0.07514051802349016,0.6531840839467097,1.2401021566691417,1.2281755193063664e-5
MA25.csv,SMD,43,22,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.16554493208247015,0.1414042911143753,0.21585691336309154,2.159857992331138,0.004039696795276183
MA26.csv,SMD,459,71,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.0017570516382645,0.05823647930865843,0.050104280357511355,77.4942835516682,0.4647913291434031
MA28_01.csv,SMD,84,42,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.18056401554316504,0.08151513644934394,0.6007050980397393,1.2902153183532892,2.4796271286170446e-5
MA28_02.csv,SMD,84,41,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.15484791475285717,0.08369249085694046,0.4563680373797482,1.4696626240381157,1.5215152780937997e-4
MA31.csv,SMD,734,212,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.32445799014650084,0.04600530787934395,0.9999998234597456,1.0000001320725767,1.0062806136567166e-19
MA32.csv,SMD,13,7,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,1.2905504034916613,0.28544754390376886,0.9947841857732664,1.0033382620183458,4.576342285544541e-11
MA14_01.csv,SMD,104,20,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.2513902545652648,0.06417018668242591,0.9748610081262011,1.0153747626847125,2.1359979713834632e-9
MA14_02.csv,SMD,167,17,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.23607219737444507,0.04459940983192463,0.9995707411634385,1.0002916217812952,2.0370792797041127e-13
MA18.csv,SMD,23,23,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.5382261059102695,0.16735016199267433,0.895478966967122,1.0629284887383792,1.2648771320960268e-7
MA39_1.csv,SMD,37,21,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,6.49213943645363e-5,0.11829107731418058,0.05000003450386037,4259.631579854067,0.4993584751387011
MA39_2.csv,SMD,15,11,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.05200886324054964,0.2519697603594166,0.054894750365632516,11.384810283199583,0.2758249671651442
MA17.csv,Zr,66,22,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.05101777113436367,0.04475894647980437,0.2070392820314224,2.212199759388985,0.004676712566881118
MA34.csv,Zr,555,23,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.06792939745298551,0.02969617669239383,0.6283718322406804,1.2630523073068465,1.720506927739634e-5
MA41_01.csv,Zr,110,24,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.1309901103404929,0.06352594507633753,0.5406623876361755,1.3559917063833162,5.3375622323992296e-5
MA41_02.csv,Zr,184,27,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.07534470339803352,0.09617534534788812,0.12272730852092184,3.1235329889967813,0.024775019696792206
MA41_03.csv,Zr,129,36,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,-0.05900558281795307,0.0743938830795319,0.12459450918611892,3.0875670829042545,0.023689309945104618
MA41_04.csv,Zr,104,20,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.24512817572299164,0.07304969491028543,0.918593389341217,1.0488686824468862,5.786376228083103e-8
MA43.csv,Zr,13,8,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.04881817145103004,0.08404385229021741,0.0894616828249919,4.146919356338748,0.06180850079187572
MA45_01.csv,Zr,28,25,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.49366752420765586,0.03551654778484713,1,1,6.031812924633213e-57
MA45_02.csv,Zr,11,10,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.2811670354303105,0.17386793342332124,0.36603536246746604,1.6356791412736023,4.745926707531935e-4
MA47_1.csv,Zr,65,25,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.00873540809099919,0.05010860887758607,0.053488611411264264,13.460746050968277,0.30678273809086426
MA47_2.csv,Zr,38,26,yang2023_gated_beta0_c3,Yang 2023 (primary),se_beta0,NA,primary,z_1.96,0.31697858256479317,0.07460581772359097,0.9889529818723396,1.0069180041185029,2.701498154394226e-10
MA09.csv,lnRR,1297,126,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-0.12739276794999974,0.15070137388923802,0.1350177004755828,2.909148287476244,0.018616195131481595
MA20_cleaned.csv,lnRR,29,8,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.08431147702569239,0.10463293570213118,0.1270526852949162,3.042233479680502,0.022349987969647732
MA22_01.csv,lnRR,92,30,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.0569336357098875,0.03116536053059729,0.44711773068359606,1.4841424339060205,1.7065646713297343e-4
MA22_02.csv,lnRR,92,30,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-0.00177403085824112,0.02899142344579986,0.050429035375350595,38.2231003309972,0.42895589948540064
MA22_03.csv,lnRR,92,30,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.04832243289955773,0.0319301223026108,0.3278450139902591,1.7281189719748644,7.839293290423857e-4
MA01_01.csv,SMD,22,20,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-1.4072791836527625,0.15154998754213558,0.9999999999998814,1.0000000000000953,1.2134378440518127e-29
MA01_02.csv,SMD,14,13,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-1.3538451313364777,0.1739358830913558,0.9999999971207356,1.0000000022144757,9.828120580262925e-23
MA01_03.csv,SMD,16,11,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,1.5546444855747892,0.16630238204074982,0.9999999999999256,1.00000000000006,5.9714843559047294e-30
MA05_01.csv,SMD,17,9,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.29008980760634995,0.28509655020539515,0.1744343731468011,2.4517134936036187,0.00833064771197589
MA05_02.csv,SMD,16,10,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-0.5092129029248362,0.22728002030674885,0.6104667003768744,1.2804294851806013,2.1820180033397757e-5
MA05_03.csv,SMD,4,4,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,1.4649616153614824,0.6494461327055177,0.616300119088098,1.2746886657436671,2.0203970916949892e-5
MA06_01.csv,SMD,33,9,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.4317185414030304,0.2579314373519675,0.3875053979263595,1.5905195647950177,3.6044167983628414e-4
MA06_02.csv,SMD,13,6,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.6717744862411751,0.18487777401172725,0.9529003195005581,1.0283969409841596,1.1671583774008627e-8
MA08.csv,SMD,531,176,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.23811966554452196,0.0337685699522012,0.9999998224292979,1.000000132837355,1.0164562812892106e-19
MA10.csv,SMD,32,32,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.3856950980061035,0.1383073269314048,0.7963689166618406,1.127428039091466,1.2857322932165668e-6
MA12.csv,SMD,70,16,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.2988582460938461,0.14829037970623438,0.5221229758470426,1.3785517327114665,6.730599679540492e-5
MA13_01.csv,SMD,43,24,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-0.7058559976175514,0.25784437662795934,0.7815880437762776,1.1378111549420489,1.6848807652338984e-6
MA13_02.csv,SMD,37,20,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-0.3607838934200846,0.15812250834717043,0.626174605986832,1.2651464136009107,1.7718314267173085e-5
MA13_03.csv,SMD,14,9,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.8394222389158493,0.23444636217677636,0.9474354901366112,1.0316376242366665,1.59254396177008e-8
MA15_01.csv,SMD,5,3,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-0.6348814481088605,0.2993251949484166,0.5640066244428164,1.32918788187776,3.9752291460691365e-5
MA15_02.csv,SMD,9,4,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-1.1411922556996148,0.19002557093188588,0.9999738945299322,1.0000185576381642,8.232674209736667e-16
MA15_03.csv,SMD,11,5,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-0.8949985406326008,0.2219381036576933,0.9808992138731252,1.011771324884104,1.0525825529070314e-9
MA15_04.csv,SMD,11,5,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.3029241000845503,0.22592738274007113,0.2683872422545347,1.916427619966203,0.0017963026862847027
MA21.csv,SMD,11,6,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-0.2585414372588214,0.2277910672138578,0.205678449180564,2.2206693404995814,0.004785162140756453
MA23.csv,SMD,24,22,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-0.509965353263902,0.1302134393565078,0.9747919382983021,1.0154158715290365,2.1513589691706485e-9
MA24.csv,SMD,139,54,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.30632072363658036,0.06129545053533913,0.9988071830642326,1.0007928936020747,1.7349918753556553e-12
MA25.csv,SMD,43,22,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.5681442160056683,0.14460909785281031,0.9755156250512547,1.0149850455358869,1.9939693904112244e-9
MA26.csv,SMD,459,71,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,0.1261713256704681,0.04327490532405412,0.8303666919256478,1.1043798773473625,6.533894920263814e-7
MA28_01.csv,SMD,84,42,yang2024_FE_VCV,Yang 2024 FE + VCV,own_CRVE,CR2_Satterthwaite,reported_sensitivity,z_1.96,-0.6565015394081448,0.08391389821109409,0.9999999977346257,1.0000000017447048,6.628756300459772e-23
