aggregation,weighting,cluster_unit,crit_value_method,kish_effective_papers,largest_paper_weight_share,mean_distinct_papers_per_resample,effect_estimator,spec_role,metric,point_estimate,metric_lower_bound,limit_below_bound,ci_width_log,offset_used,summary_dominated_by_offset,candidate,method,log_ci_lower,log_ci_upper,ci_lower,ci_upper,se_log,df,n_cluster,B,seed,boot_bias_log
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,type_M,2.1770696432395016,1,FALSE,0.7735836643574747,0,FALSE,TRUE,model_based,0.3911879400257012,1.164771604383176,1.4787364010564437,3.2051907480798243,0.19226725789879612,47,48,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,type_M,2.1770696432395016,1,TRUE,2.3607458087994426,0,FALSE,TRUE,CR2_paper_cluster,-0.4023931321952827,1.95835267660416,0.6687177995108826,7.087641804931256,0.3471661601748183,2.69037229779323,28,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,type_M,2.1770696432395016,1,FALSE,1.305691841781286,0,FALSE,TRUE,bootstrap_paper_percentile,0.32417381614016494,1.629865657921451,1.3828876544251278,5.103189099453162,0.35065709540782325,NA,28,20000,20260815,0.021317169373347267
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,type_M,2.1770696432395016,1,FALSE,1.6956221531645077,0,FALSE,TRUE,bootstrap_paper_bca,0.37887637352909403,2.074498526693602,1.4606424505096922,7.960553452864679,0.35065709540782325,NA,28,20000,20260815,0.021317169373347267
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,type_M,2.1770696432395016,1,FALSE,1.293528427428643,0,FALSE,FALSE,bootstrap_model_percentile,0.334017590925125,1.627546018353768,1.3965677102764527,5.091365258922608,0.3465972389661492,NA,48,20000,20260815,0.021219483707931253
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,type_S,0.012225245985474795,0,FALSE,0.5335008295593857,0.025,TRUE,TRUE,model_based,-3.5575185071417357,-3.02401767758235,0.0035094830874761555,0.02360554414218178,0.1325968299386375,47,48,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,type_S,0.012225245985474795,0,TRUE,1.7364160604318544,0.025,TRUE,TRUE,CR2_paper_cluster,-4.15897612257797,-2.4225600621461156,-0.009376453670160694,0.06369426373655843,0.2553535810247095,2.69037229779323,28,NA,NA,NA
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,type_S,0.012225245985474795,0,FALSE,0.9277741600140716,0.025,TRUE,TRUE,bootstrap_paper_percentile,-3.599641354366861,-2.671867194352789,0.0023335237385194788,0.044123038591218765,0.25311679437981754,NA,28,20000,20260815,0.018817299088574213
meta_analysis_level,k_effect_sizes,source_paper,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,type_S,0.012225245985474795,0,FALSE,1.1892081782233825,0.025,TRUE,TRUE,bootstrap_paper_bca,-3.5721423719620233,-2.382934193738641,0.003095597936962735,0.06727941420269276,0.25311679437981754,NA,28,20000,20260815,0.018817299088574213
meta_analysis_level,k_effect_sizes,meta_analysis_model,z_1.96,9.30141956494981,0.2259581881533101,17.8904,yang2023_gated_beta0_c3,primary,type_S,0.012225245985474795,0,FALSE,0.9292997348981471,0.025,TRUE,FALSE,bootstrap_model_percentile,-3.5934817524092333,-2.664182017511086,0.002502406957589614,0.04465630787635095,0.24994825853283928,NA,48,20000,20260815,0.018180422612991354
