obs_ID,study_ID,year,es,var,meta_ID,research_aim
obs_392,22610052,2012,0.210069867,0.182821122,ma31_01,human
obs_393,22672268,2012,0.989488542,0.226497391,ma31_01,human
obs_394,22672268,2012,1.504497026,0.256587783,ma31_01,human
obs_395,22672268,2012,0.478862715,0.24960154,ma31_01,human
obs_396,22750582,2012,3.460572791,0.526257533,ma31_01,human
obs_397,22922490,2012,0,0.166666667,ma31_01,human
obs_398,22922490,2012,1.262618417,0.21805012,ma31_01,human
obs_399,22950049,2012,-0.703228213,0.181731278,ma31_01,human
obs_400,22950049,2012,0.56885913,0.233988909,ma31_01,human
obs_401,22950049,2012,-0.270444019,0.172952321,ma31_01,human
obs_402,22950049,2012,0.156564409,0.2256809,ma31_01,human
obs_403,22950049,2012,-0.471993483,0.205569446,ma31_01,human
obs_404,22950049,2012,0.734056413,0.19557967,ma31_01,human
obs_405,22950049,2012,-0.159072644,0.200632603,ma31_01,human
obs_406,22950049,2012,0.322699415,0.185700036,ma31_01,human
obs_407,22975437,2012,2.010470258,0.317479286,ma31_01,human
obs_408,22975437,2012,-1.176901924,0.247561062,ma31_01,human
obs_409,22982556,2012,-1.174779181,0.195418878,ma31_01,human
obs_410,23056528,2012,1.101812752,0.383916306,ma31_01,human
obs_411,23168995,2012,1.132369017,0.186640183,ma31_01,human
obs_412,23168995,2012,-0.057695681,0.122272658,ma31_01,human
obs_413,23195113,2013,-0.358125634,0.237328844,ma31_01,human
obs_414,23195113,2013,-1.481708016,0.322576337,ma31_01,human
obs_415,23195752,2013,-0.257040427,0.270059469,ma31_01,human
obs_416,23195752,2013,-0.056586192,0.267963876,ma31_01,human
obs_417,23195752,2013,-0.323841952,0.068704851,ma31_01,human
obs_418,23195752,2013,-0.306205141,0.068610682,ma31_01,human
obs_419,23195752,2013,-0.350057045,0.068854566,ma31_01,human
obs_420,23195752,2013,-0.062377638,0.067849066,ma31_01,human
obs_421,23237316,2013,0.254523042,0.192451519,ma31_01,human
obs_422,23237316,2013,0.563561806,0.198471041,ma31_01,human
obs_423,23237316,2013,0.022971651,0.108194266,ma31_01,human
obs_424,23237316,2013,0.081544739,0.108276993,ma31_01,human
obs_425,23305081,2013,1.343858366,0.245148883,ma31_01,human
obs_426,23325329,2013,1.002121532,0.166948825,ma31_01,human
obs_427,23410958,2013,-0.579916346,0.198916304,ma31_01,human
obs_428,23763285,2013,-0.275847676,0.201902299,ma31_01,human
obs_429,23763285,2013,2.157043849,0.316320954,ma31_01,human
obs_430,23763285,2013,-0.018538955,0.166673827,ma31_01,human
obs_431,23769892,2013,-0.172062033,0.334566889,ma31_01,human
obs_432,23775283,2014,0.339434202,0.276218654,ma31_01,human
obs_433,23775283,2014,0.892184393,0.296848272,ma31_01,human
obs_434,23775283,2014,0.093066231,0.272989737,ma31_01,human
obs_435,23775283,2014,-0.114868342,0.273127113,ma31_01,human
obs_436,23781957,2013,0.296713383,0.168500809,ma31_01,human
obs_437,23922862,2013,0.273715691,0.098999786,ma31_01,human
obs_438,23922862,2013,1.158373298,0.133548066,ma31_01,human
obs_439,24004850,2013,0.84637202,0.161617308,ma31_01,human
obs_440,24025219,2014,0.289300118,0.183720331,ma31_01,human
obs_441,24025219,2014,-0.197356125,0.182703396,ma31_01,human
obs_442,24025219,2014,0.05520002,0.23620073,ma31_01,human
obs_443,24140426,2013,1.42941357,0.251080579,ma31_01,human
obs_444,24271510,2014,0.674151752,0.14090801,ma31_01,human
obs_445,24271510,2014,-0.091485283,0.133472826,ma31_01,human
obs_446,24271510,2014,-0.141641829,0.133667707,ma31_01,human
obs_447,24271510,2014,-0.141641829,0.133667707,ma31_01,human
obs_448,24271510,2014,1.00654074,0.150218738,ma31_01,human
obs_449,24271510,2014,0.173005267,0.13383218,ma31_01,human
obs_450,24271510,2014,0.603324067,0.139399999,ma31_01,human
obs_451,24271510,2014,0.476637447,0.137119721,ma31_01,human
obs_452,24275003,2014,-0.313717943,0.165943649,ma31_01,human
obs_453,24275003,2014,-0.796605737,0.176059908,ma31_01,human
obs_454,24275003,2014,-0.050005817,0.167812189,ma31_01,human
obs_455,24275003,2014,0.278008494,0.169278623,ma31_01,human
obs_456,24280707,2013,0.351094843,0.338469483,ma31_01,human
obs_457,24280707,2013,-0.221875921,0.335384539,ma31_01,human
obs_458,24338028,2014,-0.132070806,0.125762738,ma31_01,human
obs_459,24338028,2014,0.641595947,0.131922155,ma31_01,human
obs_460,24368626,2014,2.814455794,0.531895857,ma31_01,human
obs_461,24368626,2014,4.662428875,0.992465243,ma31_01,human
obs_462,24462609,2014,-0.1479766,0.367661988,ma31_01,human
obs_463,24462609,2014,-1.408073672,0.333946192,ma31_01,human
obs_464,24462609,2014,-1.243608275,0.298330048,ma31_01,human
obs_465,24462609,2014,1.822274802,0.378546658,ma31_01,human
obs_466,24503116,2014,-0.214391009,0.142949337,ma31_01,human
obs_467,24503116,2014,-0.56636357,0.14768734,ma31_01,human
obs_468,24503116,2014,-0.060775203,0.142220546,ma31_01,human
obs_469,24503116,2014,0.777124349,0.152569315,ma31_01,human
obs_470,24667363,2014,0.463930799,0.293401135,ma31_01,human
obs_471,24667363,2014,-0.098345218,0.286059706,ma31_01,human
obs_472,24667363,2014,-0.321059083,0.289395676,ma31_01,human
obs_473,24667363,2014,0.199536989,0.28713625,ma31_01,human
obs_474,24667363,2014,0.317027694,0.257109084,ma31_01,human
obs_475,24667363,2014,-0.578346396,0.264420896,ma31_01,human
obs_476,24667363,2014,-0.534691593,0.262902476,ma31_01,human
obs_477,24667363,2014,-0.428092242,0.259695222,ma31_01,human
obs_478,24746487,2014,-0.286171852,0.252559198,ma31_01,human
obs_479,24746487,2014,0.442288521,0.256113098,ma31_01,human
obs_480,24746487,2014,-0.397356612,0.240755002,ma31_01,human
obs_481,24746487,2014,-0.429244822,0.241530262,ma31_01,human
obs_482,24747276,2014,0.873909127,0.141484685,ma31_01,human
obs_483,24747276,2014,-2.939422844,0.24009819,ma31_01,human
obs_484,24747276,2014,0.676601449,0.132643157,ma31_01,human
obs_485,24747276,2014,3.363311836,0.460239246,ma31_01,human
obs_486,24802968,2014,-0.552441763,0.20965,ma31_01,human
obs_487,24802968,2014,-0.097967579,0.202260143,ma31_01,human
obs_488,24802968,2014,-0.149097315,0.202575952,ma31_01,human
obs_489,24802968,2014,-0.215431473,0.168799058,ma31_01,human
obs_490,24802968,2014,-0.197601433,0.168645633,ma31_01,human
obs_491,24802968,2014,-0.069671174,0.167933294,ma31_01,human
obs_492,24831231,2014,0.525692406,0.188098921,ma31_01,human
obs_493,24831231,2014,0.837821369,0.197771469,ma31_01,human
obs_494,24831231,2014,-0.069778445,0.181928842,ma31_01,human
obs_495,24904343,2014,0.694591341,0.136948233,ma31_01,human
obs_496,24904343,2014,0.033985973,0.129185296,ma31_01,human
obs_497,24904343,2014,1.087624744,0.217382484,ma31_01,human
