part,level,assumed_effect,weighting,metric,n_unit,summary_estimate,ci,n_constrained_limits,raw_median_iqr,offset_note
A. Reported results,Meta-analysis level,Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,48,2.9364,"[1.9278, 4.4725]",0,"1.9550 [1.2331, 3.9665]",
A. Reported results,Meta-analysis level,Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,48,0.0249,"[0.0122, 0.0420]",0,"0.0022 [1.1e-05, 0.0547]",summary sensitive to the 0.025 offset
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,48,0.5308,"[0.4157, 0.6779]",0,"0.8236 [0.3130, 0.9980]",
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,48,1.4619,"[1.2123, 1.7628]",0,"1.1089 [1.0013, 1.7752]",
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,48,0.0049,"[0.00071, 0.0097]",0,"7.6e-07 [5.5e-12, 0.0010]",summary sensitive to the 0.025 offset
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,48,0.488,"[0.3662, 0.6502]",0,"0.8525 [0.2533, 0.9991]",
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,48,1.5548,"[1.2730, 1.8989]",0,"1.0900 [1.0006, 1.9771]",
A. Reported results,Meta-analysis level,Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,48,0.0088,"[0.0029, 0.0159]",0,"4.2e-07 [1.4e-12, 0.0023]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),All metrics,optimistic (95% CI limit farther from zero),-,Statistical power,5740,0.2806,"[0.2691, 0.2925]",0,"0.2247 [0.1334, 0.5118]",
B. Sensitivity to the assumed effect (primary-study level),All metrics,optimistic (95% CI limit farther from zero),-,Type M error,5740,2.0166,"[1.9650, 2.0696]",0,"2.1114 [1.3916, 2.9344]",
